sku_id,date,units_sold
SKU101_ELECT,01-10-2025,8
SKU101_ELECT,02-10-2025,19
SKU101_ELECT,03-10-2025,9
SKU101_ELECT,04-10-2025,5
SKU101_ELECT,05-10-2025,7
SKU101_ELECT,06-10-2025,18
SKU101_ELECT,07-10-2025,14
SKU101_ELECT,08-10-2025,8
SKU101_ELECT,09-10-2025,14
SKU101_ELECT,10-10-2025,13
SKU101_ELECT,11-10-2025,11
SKU101_ELECT,12-10-2025,8
SKU101_ELECT,13-10-2025,11
SKU101_ELECT,14-10-2025,6
SKU101_ELECT,15-10-2025,10
SKU101_ELECT,16-10-2025,14
SKU101_ELECT,17-10-2025,14
SKU101_ELECT,18-10-2025,5
SKU101_ELECT,19-10-2025,13
SKU101_ELECT,20-10-2025,14
SKU101_ELECT,21-10-2025,19
SKU101_ELECT,22-10-2025,12
SKU101_ELECT,23-10-2025,19
SKU101_ELECT,24-10-2025,5
SKU101_ELECT,25-10-2025,5
SKU101_ELECT,26-10-2025,5
SKU101_ELECT,27-10-2025,14
SKU101_ELECT,28-10-2025,18
SKU101_ELECT,29-10-2025,9
SKU101_ELECT,30-10-2025,6
SKU101_ELECT,31-10-2025,13
SKU101_ELECT,01-11-2025,19
SKU101_ELECT,02-11-2025,6
SKU101_ELECT,03-11-2025,11
SKU101_ELECT,04-11-2025,9
SKU101_ELECT,05-11-2025,7
SKU101_ELECT,06-11-2025,13
SKU101_ELECT,07-11-2025,8
SKU101_ELECT,08-11-2025,12
SKU101_ELECT,09-11-2025,10
SKU101_ELECT,10-11-2025,17
SKU101_ELECT,11-11-2025,17
SKU101_ELECT,12-11-2025,14
SKU101_ELECT,13-11-2025,19
SKU101_ELECT,14-11-2025,8
SKU101_ELECT,15-11-2025,11
SKU101_ELECT,16-11-2025,8
SKU101_ELECT,17-11-2025,18
SKU101_ELECT,18-11-2025,19
SKU101_ELECT,19-11-2025,5
SKU101_ELECT,20-11-2025,11
SKU101_ELECT,21-11-2025,12
SKU101_ELECT,22-11-2025,5
SKU101_ELECT,23-11-2025,9
SKU101_ELECT,24-11-2025,14
SKU101_ELECT,25-11-2025,12
SKU101_ELECT,26-11-2025,17
SKU101_ELECT,27-11-2025,18
SKU101_ELECT,28-11-2025,20
