campaign_id,sku_id,date,spend,impressions,clicks,conversions,cpc,ctr,conv_rate
CAM_21007,SKU_SHOES_9083792720088,2025-12-28,432.53,2100,68,1,6.36,3.24,1.47
CAM_21007,SKU_SHOES_9083792720088,2025-12-27,409.12,1987,64,1,6.39,3.22,1.56
CAM_21007,SKU_SHOES_9083792720088,2025-12-26,445.38,2163,70,2,6.36,3.24,2.86
CAM_21007,SKU_SHOES_9083792720088,2025-12-25,478.23,2322,75,2,6.38,3.23,2.67
CAM_21007,SKU_SHOES_9083792720088,2025-12-24,344.54,1673,54,1,6.38,3.23,1.85
CAM_21007,SKU_SHOES_9083792720088,2025-12-23,312.26,1516,49,1,6.37,3.23,2.04
CAM_21007,SKU_SHOES_9083792720088,2025-12-22,424.39,2061,67,1,6.33,3.25,1.49
CAM_21007,SKU_SHOES_9083792720088,2025-12-21,545.77,2650,86,2,6.35,3.25,2.33
CAM_21007,SKU_SHOES_9083792720088,2025-12-20,342.83,1665,54,1,6.35,3.24,1.85
CAM_21007,SKU_SHOES_9083792720088,2025-12-19,452.65,2198,71,2,6.38,3.23,2.82
CAM_21007,SKU_SHOES_9083792720088,2025-12-18,332.5,1614,52,1,6.39,3.22,1.92
CAM_21007,SKU_SHOES_9083792720088,2025-12-17,443.03,2151,70,2,6.33,3.25,2.86
CAM_21007,SKU_SHOES_9083792720088,2025-12-16,387.18,1880,61,1,6.35,3.24,1.64
CAM_21007,SKU_SHOES_9083792720088,2025-12-15,301.6,1464,47,1,6.42,3.21,2.13
CAM_21007,SKU_SHOES_9083792720088,2025-12-14,590.29,2867,93,2,6.35,3.24,2.15
CAM_21007,SKU_SHOES_9083792720088,2025-12-13,359.55,1746,57,1,6.31,3.26,1.75
CAM_21007,SKU_SHOES_9083792720088,2025-12-12,420.05,2040,66,1,6.36,3.24,1.52
CAM_21007,SKU_SHOES_9083792720088,2025-12-11,354.44,1721,56,1,6.33,3.25,1.79
CAM_21007,SKU_SHOES_9083792720088,2025-12-10,435.82,2116,69,1,6.32,3.26,1.45
CAM_21007,SKU_SHOES_9083792720088,2025-12-09,331.86,1611,52,1,6.38,3.23,1.92
CAM_21007,SKU_SHOES_9083792720088,2025-12-08,427.87,2078,67,1,6.39,3.22,1.49
CAM_21007,SKU_SHOES_9083792720088,2025-12-07,512.48,2489,81,2,6.33,3.25,2.47
CAM_21007,SKU_SHOES_9083792720088,2025-12-06,464.49,2256,73,2,6.36,3.24,2.74
CAM_21007,SKU_SHOES_9083792720088,2025-12-05,289.35,1405,45,1,6.43,3.2,2.22
