sku_id,date,units_sold,month,day_of_week,is_weekend
SKU_ELEC_001,2023-12-30,9,12,Saturday,1
SKU_ELEC_002,2023-12-30,7,12,Saturday,1
SKU_ELEC_003,2023-12-30,4,12,Saturday,1
SKU_ELEC_004,2023-12-30,9,12,Saturday,1
SKU_FASH_001,2023-12-30,7,12,Saturday,1
SKU_FASH_002,2023-12-30,4,12,Saturday,1
SKU_FASH_003,2023-12-30,5,12,Saturday,1
SKU_FASH_004,2023-12-30,3,12,Saturday,1
SKU_HOME_001,2023-12-30,5,12,Saturday,1
SKU_HOME_002,2023-12-30,3,12,Saturday,1
SKU_HOME_003,2023-12-30,3,12,Saturday,1
SKU_HOME_004,2023-12-30,2,12,Saturday,1
SKU_BEAUTY_001,2023-12-30,7,12,Saturday,1
SKU_BEAUTY_002,2023-12-30,5,12,Saturday,1
SKU_BEAUTY_003,2023-12-30,0,12,Saturday,1
SKU_BEAUTY_004,2023-12-30,4,12,Saturday,1
SKU_SPORTS_001,2023-12-30,5,12,Saturday,1
SKU_SPORTS_002,2023-12-30,9,12,Saturday,1
SKU_SPORTS_003,2023-12-30,2,12,Saturday,1
SKU_SPORTS_004,2023-12-30,3,12,Saturday,1
SKU_ELEC_001,2023-12-31,8,12,Sunday,1
SKU_ELEC_002,2023-12-31,5,12,Sunday,1
SKU_ELEC_003,2023-12-31,4,12,Sunday,1
SKU_ELEC_004,2023-12-31,10,12,Sunday,1
SKU_FASH_001,2023-12-31,7,12,Sunday,1
SKU_FASH_002,2023-12-31,5,12,Sunday,1
SKU_FASH_003,2023-12-31,5,12,Sunday,1
SKU_FASH_004,2023-12-31,3,12,Sunday,1
SKU_HOME_001,2023-12-31,4,12,Sunday,1
SKU_HOME_002,2023-12-31,2,12,Sunday,1
SKU_HOME_003,2023-12-31,3,12,Sunday,1
SKU_HOME_004,2023-12-31,2,12,Sunday,1
SKU_BEAUTY_001,2023-12-31,6,12,Sunday,1
SKU_BEAUTY_002,2023-12-31,5,12,Sunday,1
SKU_BEAUTY_003,2023-12-31,5,12,Sunday,1
SKU_BEAUTY_004,2023-12-31,4,12,Sunday,1
SKU_SPORTS_001,2023-12-31,4,12,Sunday,1
SKU_SPORTS_002,2023-12-31,8,12,Sunday,1
SKU_SPORTS_003,2023-12-31,2,12,Sunday,1
SKU_SPORTS_004,2023-12-31,2,12,Sunday,1
SKU_ELEC_001,2024-01-01,9,1,Monday,0
SKU_ELEC_002,2024-01-01,5,1,Monday,0
SKU_ELEC_003,2024-01-01,3,1,Monday,0
SKU_ELEC_004,2024-01-01,11,1,Monday,0
SKU_FASH_001,2024-01-01,7,1,Monday,0
SKU_FASH_002,2024-01-01,3,1,Monday,0
SKU_FASH_003,2024-01-01,4,1,Monday,0
SKU_FASH_004,2024-01-01,3,1,Monday,0
SKU_HOME_001,2024-01-01,5,1,Monday,0
SKU_HOME_002,2024-01-01,2,1,Monday,0
SKU_HOME_003,2024-01-01,2,1,Monday,0
SKU_HOME_004,2024-01-01,2,1,Monday,0
SKU_BEAUTY_001,2024-01-01,7,1,Monday,0
SKU_BEAUTY_002,2024-01-01,5,1,Monday,0
SKU_BEAUTY_003,2024-01-01,5,1,Monday,0
SKU_BEAUTY_004,2024-01-01,3,1,Monday,0
SKU_SPORTS_001,2024-01-01,6,1,Monday,0
SKU_SPORTS_002,2024-01-01,7,1,Monday,0
SKU_SPORTS_003,2024-01-01,2,1,Monday,0
SKU_SPORTS_004,2024-01-01,3,1,Monday,0
SKU_ELEC_001,2024-01-02,9,1,Tuesday,0
SKU_ELEC_002,2024-01-02,5,1,Tuesday,0
SKU_ELEC_003,2024-01-02,3,1,Tuesday,0
SKU_ELEC_004,2024-01-02,10,1,Tuesday,0
SKU_FASH_001,2024-01-02,5,1,Tuesday,0
SKU_FASH_002,2024-01-02,4,1,Tuesday,0
SKU_FASH_003,2024-01-02,3,1,Tuesday,0
SKU_FASH_004,2024-01-02,3,1,Tuesday,0
SKU_HOME_001,2024-01-02,5,1,Tuesday,0
SKU_HOME_002,2024-01-02,2,1,Tuesday,0
